event_id;event_timestamp;equip_id;event_type;event_severity;event_description
;26/06/2024;;;;
;25/06/2024;;;;
;24/06/2024;;;;
;23/06/2024;;;;
;22/06/2024;;;;
;21/06/2024;;;;
;20/06/2024;;;;
;19/06/2024;;;;
;18/06/2024;;;;
;17/06/2024;;;;
;16/06/2024;;;;
;15/06/2024;;;;
;14/06/2024;;;;
;13/06/2024;;;;
;12/06/2024;;;;
;11/06/2024;;;;
;10/06/2024;;;;
;09/06/2024;;;;
;08/06/2024;;;;
;07/06/2024;;;;
;06/06/2024;;;;
;05/06/2024;;;;
;04/06/2024;;;;
;03/06/2024;;;;
;02/06/2024;;;;
;01/06/2024;1;inspeção;;Nada constatado
;31/05/2024;;;;
;30/05/2024;;;;
;29/05/2024;;;;
;28/05/2024;;;;
;27/05/2024;;;;
;26/05/2024;;;;
;25/05/2024;;;;
;24/05/2024;;;;
;23/05/2024;;;;
;22/05/2024;;;;
;21/05/2024;;;;
;20/05/2024;;;;
;19/05/2024;;;;
;18/05/2024;;;;
;17/05/2024;;;;
;16/05/2024;;;;
;15/05/2024;;;;
;14/05/2024;;;;
;13/05/2024;;;;
;12/05/2024;;;;
;11/05/2024;;;;
;10/05/2024;;;;
;09/05/2024;;;;
;08/05/2024;;;;
;07/05/2024;;;;
;06/05/2024;;;;
;05/05/2024;;;;
;04/05/2024;;;;
;03/05/2024;;;;
;02/05/2024;;;;
;01/05/2024;1;inspeção;;Nada constatado
;30/04/2024;;;;
;29/04/2024;;;;
;28/04/2024;;;;
;27/04/2024;;;;
;26/04/2024;;;;
;25/04/2024;;;;
;24/04/2024;;;;
;23/04/2024;;;;
;22/04/2024;;;;
;21/04/2024;;;;
;20/04/2024;;;;
;19/04/2024;;;;
;18/04/2024;;;;
;17/04/2024;;;;
;16/04/2024;;;;
;15/04/2024;;;;
;14/04/2024;;;;
;13/04/2024;;;;
;12/04/2024;;;;
;11/04/2024;;;;
;10/04/2024;;;;
;09/04/2024;;;;
;08/04/2024;;;;
;07/04/2024;;;;
;06/04/2024;;;;
;05/04/2024;;;;
;04/04/2024;;;;
;03/04/2024;;;;
;02/04/2024;;;;
;01/04/2024;1;inspeção;;Nada constatado
;31/03/2024;;;;
;30/03/2024;;;;
;29/03/2024;;;;
;28/03/2024;;;;
;27/03/2024;;;;
;26/03/2024;;;;
;25/03/2024;;;;
;24/03/2024;;;;
;23/03/2024;;;;
;22/03/2024;;;;
;21/03/2024;;;;
;20/03/2024;;;;
;19/03/2024;;;;
;18/03/2024;;;;
;17/03/2024;;;;
;16/03/2024;;;;
;15/03/2024;;;;
;14/03/2024;;;;
;13/03/2024;;;;
;12/03/2024;;;;
;11/03/2024;;;;
;10/03/2024;;;;
;09/03/2024;;;;
;08/03/2024;;;;
;07/03/2024;;;;
;06/03/2024;;;;
;05/03/2024;;;;
;04/03/2024;;;;
;03/03/2024;;;;
;02/03/2024;1;manutenção;;Concretagem
;01/03/2024;1;inspeção;;Avaliação de demanda
;29/02/2024;;;;
;28/02/2024;1;dano;3;Erosão na cabeceira da ponte
;27/02/2024;;;;
;26/02/2024;;;;
;25/02/2024;;;;
;24/02/2024;;;;
;23/02/2024;;;;
;22/02/2024;;;;
;21/02/2024;;;;
;20/02/2024;;;;
;19/02/2024;1;inspeção;;Nada constatado
;18/02/2024;;;;
;17/02/2024;;;;
;16/02/2024;;;;
;15/02/2024;;;;
;14/02/2024;;;;
;13/02/2024;1;manutenção;;Reposição concreto
;12/02/2024;;;;
;11/02/2024;1;manutenção;;Remoção concreto danificado
;10/02/2024;;;;
;09/02/2024;;;;
;08/02/2024;1;inspeção;;Avaliação demanda
;07/02/2024;1;dano;3;Queda concreto do tabuleiro, armação aparente
;06/02/2024;;;;
;05/02/2024;;;;
;04/02/2024;;;;
;03/02/2024;;;;
;02/02/2024;;;;
;01/02/2024;1;inspeção;;Nada constatado
;31/01/2024;;;;
;30/01/2024;;;;
;29/01/2024;;;;
;28/01/2024;;;;
;27/01/2024;;;;
;26/01/2024;;;;
;25/01/2024;;;;
;24/01/2024;;;;
;23/01/2024;;;;
;22/01/2024;;;;
;21/01/2024;;;;
;20/01/2024;;;;
;19/01/2024;;;;
;18/01/2024;;;;
;17/01/2024;;;;
;16/01/2024;;;;
;15/01/2024;;;;
;14/01/2024;;;;
;13/01/2024;;;;
;12/01/2024;;;;
;11/01/2024;;;;
;10/01/2024;;;;
;09/01/2024;;;;
;08/01/2024;1;alerta;1;Chuvas a montante
;07/01/2024;;;;
;06/01/2024;;;;
;05/01/2024;;;;
;04/01/2024;;;;
;03/01/2024;;;;
;02/01/2024;;;;
;01/01/2024;1;inspeção;;Nada constatado
